,text,ReviewStar
1251,"Stopped working after 6 months when i gave the earphone to service center they took so much time just to give replacement product
",1
9563,"These are nice pairs of earphones. I bought them for listening daily music. Two months I've been using it, worth for money.
",4
466,"Hey Guys,I bought boAt Rockerz 255 Sports Bluetooth Wireless Earphone & I am completely satisfied with this product. Its really awesome and I am loving this Earphone easy to connect with awesome sound quality. If connected on call it works well and reduce the noise I mean noise cancellation works well. The person I was speaking to cannot identify I was using Earphone. Its value for money.
",5
2368,"awesome sound performance, blushing connectivity is very fast.. disappointment is amazon packing is very bad.. unsealed box amzon should be improve in packing
",3
13025,"This product is not working now....is there a guarantee for this product....
",2
13956,"The Earphones are decent to listen music. To Receive calls, the voice echoes. More so,the length of the chord could have been a little shorter as it's length is a little bigger for a Bluetooth earpiece. Rest, Noise cancellation is good. And Thanks Amazon for timely delivery :).
",4
7448,"These are good ear phones. But to be honest, I wouldn't say that these are way better than Apple EarPods. EarPods has its own classy features to this. At the same time, this earphones have very good noise attenuation features really. I have got these for around â‚¹1513, which is a very good deal and they are worth the bucks I have shelled out.
",5
7500,"Best :The name is enough.Outstanding German qualityAmazing match with IPODGood treat for usual music lovers.Very much satisfied with this price range.Best seller.Cons:Cable is very thin and not suitable for rough users and bed time music lovers
",5
8241,"Good frequency response. Stable across all frequencies.Good basic earphones for Audiophiles.Desired listening with equalizers is fantastic
",5
2030,"Gud product and best prize...gud bass.. voice clarity ... Noise control superb..  Thanks amazon timely deliver....
",5
13417,"Sound quality not good. Mic is not working :(
",2
11394,"Very good product
",5
2583,"Ok working good
",4
5675,"Quality ia not good
",1
5168,"Considering  the price sound quality  is good, although bass is not that prominent, clarity is very good. Battery  backup is good.  Connectivity in open place/room is good. One problem is not very comfortable on ear for longer period  of time. Other than that recommended.
",4
13694,"Awesome
",4
2867,"Superb  BoAt Rockerz 255 Sports ðŸ‘  just ok only 13 days use Complaint product very bad
",1
12461,"Value for money ... felt something missing after all....  donâ€™t know whatâ€™s missing ... frequencies /sound quality or I donâ€™t know ... I didnâ€™t get full satisafaction ... brands make cheaper prodcts to have less quality than premium... donâ€™t know ...
",4
9262,"Good product....can go for it if you want ðŸ™
",4
10442,"Great product with great quality Worth money product
",5
3509,"one side stop working after 5 months
",1
3901,"Good for money.
",5
11307,"My favo headset gud & quality one
",5
6107,"I have already JBL wire headset but it is not comparable with that old one, I'm not satisfied with JBL T205BT Pure Bass Wireless Bluetooth headset
",1
2596,"Poor battery backup.Rest is average.
",3
11969,"It's a good product it looks durable and stylish but the bass is on the lower side and treble is more.How much ever you adjust the equaliser it's the same.
",3
2282,"Best product for RS 999. What I like is it's flexibility.But it doesn't have next song button.Overall I am satisfied.Thanks boAt. Thanks Amazon.
",5
1848,"Overall sound performance is not as we expect. The worst thing about this is its battery issue.Poor battery power. Used many products but its incompetent for this price.
",1
1087,"Sound quality is not that great and coming to Bass the bass is good and quality of the product is good
",3
10333,"Really good and precise sound quality. Is neither high on bass or treble very neutral
",5
6217,"Value for money product
",5
3275,"Built quality is not good, looks like one of the ear piece is fixed with adhesive.
",3
13753,"Wrong color
",1
11300,"Quality of wire is not that much as expected.
",4
3808,"I can hear everything clearly but the volume level is very low ,it becomes high when I raise the full volume
",4
9987,"I like sound quality and the price is high can you please decrease cost so can everyone can buy this
",4
606,"Got it today. Writing this after using it for 2-3 hours. Bass is to too good for in ear earplugs. I am an edm guy so what i want is good bass and loud music , boat rockerz fulfills it no doubt !! Noise cancellation is good  ! Supports voice assistant ! Just go for it ! I am satisfied with the quality of sound,  the beats everything! !
",4
3101,"5 out of 5... Best product
",5
557,"This is the worst product which I purchased it was not working and wasn't connecting to any device bcoz red and blue both light used to blink.. I raised a complaint and they took for replacement and said replacement done and sent the same product by doing neat polish .after replacement also not working trying to reach boad customer care but no response.. don't by this product..
",1
13310,"Bass is not good
",1
6361,"Like all bluetooth devices, it lags which makes it harder to play pubg
",5
4250,"Product was terrible with low sound and one side is not working with in 2 months
",1
7146,"Good
",5
5116,"Best headphone in this price range. Battery backup is also as mentioned. the range of Bluetooth is decent and sound quality is premium.
",5
1062,"Pls guys do not purchase it....i have taken in jan 2019 now its not working properly within 4 months....when it is connected to mobile we cannot receive the call n if reveived then other person cannot hear our voice....not at all satisfied with the product.....
",1
12066,"I like it.
",5
13371,"Product not playing for one headphones
",4
8330,"Sound clarity was very good. Loved the product
",4
12107,"one of the best headphone.Bass is good .Noise Cancellation works very nicely.
",5
12121,"Good one bur Should have volume control in it.
",4
13888,"Nice product
",4
6297,"The battery life and sound quality is very good..I found the build quality a bit poor
",4
3388,"Good product and I have not seen anything wrong with it, Good Battery Backup and Fast charging, Sound quality is awesome
",5
1647,"Good product for the offered price. Do buy
",4
13508,"Nice product. Nice sound with awesome base.
",4
6960,"Good quality fits into ear perfectly. Battery is not great hardly lasts for 3 hrs on full charge.Blue light can be annoying, it is too bright when lights are off when using in night.
",4
6357,"If you love apple in ears then this wireless headphones is for you.
",5
4654,"Nice product. Good sound quality but the Mike has no noise cancellation
",3
12609,"Bought it in August 2018, and worked fine until now when suddenly one earpiece stopped working. Otherwise, I totally recommend it. It's a good option at the price point.
",4
6282,"No noise cancellation . No sound quality... and not comfortable at all
",1
7226,"Definitely this is not for the base lovers. Very low base sometimes not that too. Not loud. I have to increase the audio level to 70% and higher to hear it well. Even a low range earphone can perform well compared to this. Please don't buy it. I even doubt on its originality. I used cx275 previously which was too good and this one is terrible.
",1
304,"No Noise cancellation makes it difficult to talk on call mic capturing too much of background noise, speaker is good
",3
3726,"No feature to understand phone calls
",4
1473,"Overall product is very good. Only problem I found is range coverage is not good. It's automatically get's disconnected due to coverage issue.
",4
13058,"Very happy with the product
",5
14116,"Working good .but some times I lost my connective between headfone with fone. Charging time is 2.30 hours and it's working 10 to12 hours constantly.
",2
8996,"Not recommended for music lover. Bass is less
",1
12168,"Good product
",5
6156,"I gifted this to my brother n he just loved it
",5
6036,"Bass not soo good and volume laudness its avrage...not sooo good in traffic..and accroding the quality of earphone..price too much high
",3
5499,"The product is good for the price but right when the battery comes to 20% it keeps saying  battery low every 3 sec. So last 20% can never be used.
",4
13979,"I bought this product and just in 10 days the Mic stopped working. I met another guy who said the same thing about his Wireless earphone.And I can't even find the replacement option.What to do with such situation ?
",1
12740,"Battery is not working properly.pls help.pls change the device
",1
4272,"great
",5
1189,"I'm fully satisfied the sound quality and bass..But sometimes it's automatically disconnected with bluetooth paring..Sometimes struck the sound below 10mts frequency range..
",3
3557,"The sound quality was awesome
",5
706,"Not so good noice cancellation. Baas is too loud, little uneasy, i would still give 4 our of 5.
",4
11841,"Terrific Sound quality!! Good Base!! Clear Noise cancellation!! Worth of Money!!The Doom of the Headphone is quite sensitive, Have to definitely handle with lot of care!!Addicted to CX 275
",5
1022,"20 days after buying the rockers, ear bud with the attached piece broke without having to make it fall or use it roughly. Window to return it back is closed as well. Be careful when ordering.Other than the poor quality build, ear phones are alright.
",1
10205,"awesome clear sound. microphone is also very good.
",4
5651,"I got my package in good condition but in earphone there is no ear plugs.
",1
5839,"JBL t205bt is light weight, flexible and easy to carry. Sound quality is good. Bluetooth connects very fast. Build quality is very good. But the design of earpiece is little different from ibuds, hence ot is quite uncomfortable for ears. Bluetooth connection quality is not  good for calls. Sound cracks and breaks very often. Battery is ok for normal daily use. ( About 3 and half hours of music play with whole day connection with mobile can be expected). Biggest drawback is noise cancellation is terrible. You can not get good music in traffic or while riding.
",3
11953,"Decent pair of headphones
",4
13353,"Awesome sound quality and battery life!!!!!
",5
3654,"The left earphones stopped working after 2 weeks.
",1
6898,"Sometimes facing Connectivity issues
",4
4806,"Not durable product very bad experienceDont buy this product zero star
",1
7205,"One side of earplugs isn't working properly getting proper sound from right the mic is not that great as expected..
",1
9218,"I have 3 earphones of the this model. You will be completely lost with the mesmerizing sound when you plug it in
",5
4673,"Its good
",5
1256,"Sound quality is excellent.Connected properly with my one plus6
",5
12191,"Charger is not fitting in charger slot and i have mailed and called customer center for several times. they are not responding. I waste my money on this product. I need my money back. Please respond to my mails. Poor customer service i have ever seen @skullcandy .Respond immediately .
",1
8572,"product is good but i wanna recommend u one thing that plz dont waste ur money bcz  i have used this headphone and skull candy for 500 rs also but the sound quality and clarity was almost same so plzz avoid
",4
5087,"Dispointed...Not parfect for Music Loversound clearty poor
",3
3049,"Style, Features, Color, Quality, All R Just Perfect...
",5
7084,"Ok
",4
993,"Sound is good you can use it for workout purpose, however noise cancellation does not work proper the person with whom you are talking will hear lot of sound.
",4
10607,"Prossound quality is good.very handy and easy to plug into ears.fits ergonomically within the ears.Cons.Very High pricing.
",5
8754,"Good Ear Set with Excellent notice reduction for person wearing the equipment. Though person on other side of line sometimes complain of some background noise.
",4
4648,"Sound quality not much goodAnd its most important thing is it's not adjust any ear
",3
6184,"Battery life of the product is poor and sound quality is also not so good.. Overall not so good to use
",4
4031,"nice.
",4
2061,"It's Wow.I like & love it.This product is very good. I'm very happy.
",5
8832,"Good earphones at this price but not upto the ratio of price/quality. Sound is good at High volume too. Not much bass
",4
6252,"Sound a bit low otherwise it's worth price
",4
389,"Hi, I bought this on 5th Feb and it stopped working on 16 Feb 2019. I am chasing people to at least get the item replaced but not sure if they will help on this. On 16th Morning, it neither switches on nor it charges when trying to charge.Very bad to see 2000 rs going in vain.Mohit
",1
11034,"I am enjoying its sound.super quality
",5
185,"I'm not happy that boat made these sub par headphones. They sound quality feels tinny. And the build quality was bad. The rubber casing came loose on one end after a month of use and i use it with the wire dangling out of the casing now. Not happy with this purchase. Then again, they didnt cost too much.
",3
981,"Noise issuesSound disruptionSometimes delay soundMike doesn't even work wellNot worthy for money
",1
1402,"This is the perfect earphone for meI wouldd definitely recommend this ti everyone.Bestt sound quality after Iphoneâ€™s headphoneAlso bestt paart is that it is entangled-free ðŸ˜€ðŸ˜€
",5
7961,"Freaking awesome... but a point is ... when u are riding fast in your bike... air gaps are created ...but thatâ€™s fine...The earphones is as expected...the base ... everythingAnd the packing was awesomeâ¤ï¸
",5
3646,"I want to change this pieceMicrophone phone is not working properlyPlease share how I can exchange it
",3
1075,"Writing review after using for 1 monthAwesome BT earphone at this price... Battery back up is around 5 to 6 hours.. But once the battery% comes to 20 % it hardly stays for 5 mins..... That's the only cons....Over all 8/10....
",4
2299,"Its ok.. ok ptoduct....sound quality while talking on phone is not that good
",3
1677,"It's jst awrsome to use ths product. Sound quality is good. Battery life is very good. And it's very useful for the college students so as to use them between lectures. Great product. Loved itðŸ˜ðŸ˜
",4
6607,"Itâ€™s totally Uncomfortable
",1
10162,"Quality Earphones indeed! Bass is slightly on the weaker side.
",4
2781,"Only concern is that Everytime you turn it on it says two lines which is irritating sometimes.Also battery backup could have been better
",4
1734,"Don't think twice ..just go for it... sound. Quality and. Comfort is good.... light weight!!!.. good battery quality!!...cost effective purchase!!
",5
3030,"Don't go for this product the right year piece stop working in 6 months.after sales services are pathetic
",1
8037,"Seems delicate but is strong to normal abuse. High level sound quality with clarity. Bass can be easily adjusted with equilizer to get awesome bass and treble.
",5
7449,"Wow! Just wow. Havenâ€™t used any earphones that fit in my ears better than these ones. Sound good, everything good. For me, the fit has been the biggest challenge always and these win hands down.
",4
8534,"The product is damaged, the Mike doesn't work, if we plug the product in a phone, the volume gets auto changed, songs are getting auto forwarded, tried with 2 3 phones problem persists
",1
7719,"Sound quality was good. Jack got damaged, it would be better if they give some box kind of storage instead of soft pouch.
",4
12591,"I have purchased this item to looks like a good bass sound Qualits which is specially mentioned on it but when i use it then found very bad bass sound quality
",2
1838,"Fantastic earphone for music lover. Noise cancellation is very poor, other person is getting my background noise instead of my voice. And facing voice crackling issue too with this earphone.
",4
1859,"This is excellent product.
",5
11181,"Crystal Clear Music and no noise erection, worth for price....
",5
6218,"Sound quality is really good but the two cons that i can't ignore are battery life and Bluetooth connectivity
",4
1925,"It's a great product.. has made life much simpler for me.. no hassles of the wire connected to my phone all the time.. battery lasts almost the entire day, good sound.. no complaints
",5
9879,"A well balanced headphones.
",3
10088,"The earphones are perfect. Have been using them since past one month. No hiccups whatsoever.
",5
8201,"Great crystal clear sound , bass is on the softer side so  not recommended for people whose first priority is hard bass sound . For me , bass is perfect , you can keep listening to songs for hours without even any stretch to your ears . Also the ear pods are designed in such a way that it fits your ear perfectly . Also , it comes in handy when you can receive your calls and start pause or change music tracks with the call button .
",5
10916,"Good sound and bass
",5
9910,"Best after sale support. Don't need to say any thing about earphones you won't find a better product
",5
11748,"Awesome sound quality.
",5
4706,"good product under 1500 but cable & buds quality is very cheap
",2
9051,"Loved the product.
",5
12241,"sound quality is amazing bass and preety amazing sound
",5
9554,"Cheap product, sound quality not good
",1
11541,"Its good with best sound quality
",5
5167,"Value for Money
",4
14312,"Sound nice
",5
7564,"Don't like the bass in this, within one day it stopped working, sound is blaring, not even as to use for calls, sound quality is pathetic in laptop and in phone, there's no bass quality, only blaring torn speaker noise comes, the worst earphones I have ever used in my entire life!!! DONT BUY
",1
8648,"Durability is awesome
",5
7942,"bought it use it with my Acer Predator helios 300.. with Dolby Atmos.....What a heavenly experience.
",5
1247,"Boat rockers 255 wireless earphones was so good and sound quality is very good but the packet of the earphone was damaged and plz tell me  how to register for warranty bcoz I registered there bt I did it get any sms aur mail on my account
",5
11195,"its not bad. does its work. working better than other earphones.
",3
10636,"Got original one..  It is good
",5
4175,"Nice earphone
",4
11437,"Good
",5
6183,"Amazing voice quality..Feels little harsh to the ears as hard plastic is used for the bud
",5
4984,"Nice sound gud quality only one thing battery backup is not good
",4
8290,"only concern about wires..as it is thin otherwise good one. you can double press for next song and one press for stop and play song.
",4
8188,"Noise cancellation is ok...not great.. sound is also decent quality. overall good earphones.
",5
9287,"paisa wasool headphone hai. best sound quilty. I am using this product for more than a year.
",5
2376,"Superrbb Bass in this range,Good battery back up upto 6-7 hours,I bought it for only At 999 in Sale
",5
33,"Update: Sadly this is the second Boat product to conk off after few months of use. I guess this is the end of the journey for you and I Boat Audio, not buying any more products from your brand. Changed the rating to reflect the same.I was in the market for a cheap pair of Bluetooth earphones and I chanced upon this on a lightning deal and bought it. I have used Boat products before, they have good build quality and their sound is alright. Iâ€™m writing this after a month or so, enough time to have lived with it and get to know quirks and other problems.â€¢ The sound is nothing great, itâ€™s a bit on the bassy side. If youâ€™re a bass lover, this is definitely a good buy.â€¢ Connectivity is quick and painless â€“ and it works without hassle every time. The quality of the connectivity depends and is sometimes weird. I can put the phone on charge and use it for a distance of about 3 meters, no worries. But sometimes when Iâ€™m walking really fast or jogging there are breaks and crackles in audio. Not sure if itâ€™s the material of my gym wear, but it works well when the phoneâ€™s in my jeans.â€¢ Battery life is nothing to write home about â€“ I listen to music constantly even when Iâ€™m at work. My demands are probably too high for this price range.â€¢ It is sweat-proof as advertised. No interruptions under a light drizzle.â€¢ Itâ€™s got great build quality for the price â€“ looks and feels premium. Doesnâ€™t tangle at all.â€¢ It stays in your ear regardless of the intensity of the exercise which is great.On the whole a great buy if you are looking for a cheaper alternative. Wait for a sale before you get it though.Like my reviews? Please do click the helpful button. It encourages me to share more about the products I use. Thanks!
",1
11026,"Nice audio quality
",4
1324,"Sound quality is awesome.This product is expensive but it is one time investment.It is of good quality.Every other product of this type has one problem that is of battery life.It have atleast 6 hrs battery life.
",5
10265,"Perfect. great sound, good bass, sturdy headphones & wire, different size of ear buds provided & a pouch too. Very good value for money.
",5
10825,"Amazing
",5
9331,"From design and comfort point of view it is great but sound quality is not outdtanding. It is ohk to have it while considering the price point you may get a better deal in skullcandy or any other medium range Earfones. Nothing great to mention here.
",3
5225,"I have using this for nearly 10 days now.Got a good deal from amazon,really good sound
",5
4388,"Average product... Nothing differently done to appreciate....
",3
9902,"VERY GOOD PRODUCT
",5
3528,"Sounds quality needs to improve, rest things are good.
",4
8638,"Got the product delivered today only. The packing was good. The bass is awesome in bigger earbuds. Only con is the wire quality, it looks cheap n very fregile. Let's see how long it lasts.
",4
11464,"Best earphone very comfortable to ear
",4
3624,"Great product and pocket friendly too. Good for daily use. Battery backup is around 8 hours which is okay
",5
3188,"Good product, go for it, higly recommended in price range of 1000 bucks, but they should provide some extra ear fins.
",5
4350,"Good product but little expensive
",3
13368,"Awesome
",5
9364,"The sound quality is  just up to the level of a normal low cost headset below 500 Rs. It's not worth the price. I am giving 2 stars only because the delivery of this product was very fast with good packaging.
",2
13315,"Not satisfied with bass, there is brand name only.
",2
6642,"It's hurt in ear bcz of size..
",1
6601,"Bad product
",1
8710,"Great sound amazing value for money. Really lightweight and rugged product for everyday use.
",5
1274,"Liked this product a lot using from some days...this is cool
",5
5381,"Liked the product and pricing
",5
988,"Outstanding performance, very Good bass, and cristal clear sound... Bass lovers can enjoy it.... Lite weight... But only one dislike you can't put this earphones when you Ware helmet,  it will heart your ears.... Otherwise it is super good earphones under budget..
",5
472,"Good battery life. Bass is kind of overpowering. The earplugs that come with it was too uncomfortable for me. Maybe fir others it would fit better. Overall I would rate it 7/10.
",4
6608,"Small battery life
",4
7337,"Quality of sound is not as good as Sony XB55 or even Samsung's inbox in-earphones. As volume is levelled up above 70% sound quality starts getting rediculous. Cable quality is unacceptable. It is quiet easy to get damged. At this price consumer should not focus on brand name rather focus on quality of sound. Moreover, it doesn't not have volume rockers keys.
",2
2721,"While working out the holding capability is bit uncomfortable which can be a major disadvantage in this model,
",3
14111,"well i would give it (4-1)star for a reason... sound is really good and with deep basss but with a catch here. i had bought the headphones and was very disappointed for a flat bass and lots of treble sounded waste of 2k... but then i had spare ear buds of sony mdr wired earphones (spare buds) which were perfect fit on jbl ones and woah the sound felt amazing really worth the jbl sound series..... well the biggest problem is with the too hard ear buds provided with dosent give full isolation to bass effe t to shape...so people who have already bought try replacing the earbud with any old headphone you have which are useless
",3
12923,"While making calls, the other person's voice is disturbed. okay for music
",2
3450,"It's good . Sound is good if not excellent.
",4
10097,"Superb great bass nd sound
",5
1527,"Good product but not value for money ,very costly
",3
8226,"This product works superbly. The quality of sound is amazing. It has feature of voice attenuation, blocks ambience noise to a pretty good extent. Best buy for a price range within 3K.  Also the casing provided feels very premium and polished. A quick thanks for Amazon prime which delivered the product within 12 hours of booking.
",5
13260,"Not worth, poor sound quality and there is no bass
",1
5045,"After using it for not even for a week and that too not very rigousous use.... The earphones are beginning to come of its holder... Really dissatisfied and disappointed by the quality...
",2
8611,"It is one of the best earphone in this range and it feeling like listening the music with big speakers. It's a must try once for music lover. Amazing sound quality.
",5
7326,"Sennheiser CX 275 are the best wired headphones available. The concentration is more on the quality of midrange output rather than ear deafening bass. One can put on these and listen for hours without any fatigue. Bass heavy headphones cause ear fatigue. The quality of sound gives you the opportunity to listen to those notes in your fav songs which you may have never been able to listen on a regular cheap bass heavy headphones.
",5
9972,"Good
",5
12202,"Excellent product. One can hear each nd evry instrument played in music.The best part of ths product is it does not give you any pain in ears even if listening for a long time.
",5
7436,"Received delivery of the earphone 1 hour ago.Guys I can't stop listining to my playlists now.Previously I owned Skull candy smokin buds 2.This is way better than ðŸ‘†.Sound quality further increases after a week or few days of usage.Can't wait to experience the final results.Paisa pura wasool.Will update after a month or soðŸ˜Ž
",5
14298,"Useless
",1
10370,"Good
",5
2185,"Got these pair of headphone on sale for 999Worth every penny! Was looking for oneplus bullets but they tend to be oos always!
",5
12148,"Best earphone under rupees 2000.Its base is very high and sound quality is very clear.
",5
11491,"Been working perfectly for 4months now
",5
13096,"Battery quality very nice  Sound super
",5
7583,"Very convinient product with its small carriage bag.the qualitly is superb like sennheiser products are! Works best with andriod phones , the iphones dont allow few of the fuctions due to different confugiration i suppose. The sound quality is awesome. With its case travelling with earphones is taken care ofðŸ˜Ž
",5
7948,"Sound is better balanced compared to any other bass earphones. I listen songs enabling dolby atmos in my cellphone, gives pleasure to ears. Treble and bass is balanced though bass lovers will not find it much interesting.
",5
4148,"Awesome
",4
830,"if you are radio listener lover( like me...lol) then this earphone might be the wrong choice for you, coz i had to download radio app which was really annoying and no local radio station i could play! so its  just for regular music listener , with good bass n clear audio. but no radio so its worthless.
",4
14006,"One of the best in it's category. Easy to connect. Very good bass and clarity of sound.Mic works just fine. Hassle free and easy to use too. The battery backup is par not bad but could be better and else everything is good.
",5
13196,"Very nice designed  and good package battery life is good
",5
1481,"I liked the product. Very good sound quality. Call quality is also excellent. Totally satisfied.
",4
9758,"It's not good . The sound quality is really bad and not that good . Really disappointed
",1
11182,"Ya this pair of buds r very very good...in compare to 180 bass is almost 25% more n sound is loud clear n crisp..!! Mic is also up to the mark..!!
",4
2950,"Awesome sound quality with great bass. Didn't found any problem. Easy and handy buttons controls with voice assistant.
",5
10735,"So far so good , execellent sound quality. ðŸ˜€ðŸ˜€
",5
